slug,has_eligibility_raw,has_min_degree,has_min_marks_pct,has_duration_weeks,has_emi,has_admission_deadline,has_modules,has_faculty,has_tools,programme_type
advanced-certificate-in-performance-marketing,True,False,False,True,False,False,False,False,False,
advanced-certificate-program-generative-ai,True,False,False,False,False,False,False,True,False,
advanced-general-management-programme-imt-ghaziabad,True,True,True,True,False,False,False,True,False,
advanced-program-strategic-management-business-excellence-iim-lucknow,True,True,True,True,False,False,False,True,False,Certificate
applied-ai-and-agentic-ai-executive-pgp-certification-iiitb,True,False,False,True,True,True,True,True,False,
artificial-intelligence-course,True,True,False,False,False,False,False,True,True,
bcom-international-accounting-finance-jgu,True,True,False,True,False,False,False,True,False,Bachelor's
bsc-artificial-intelligence-finance-jgu,True,True,False,True,False,False,False,True,False,Bachelor's
bsc-finance-entrepreneurship-jgu,True,True,True,True,False,False,False,True,False,Bachelor's
business-analytics-certification,True,True,True,True,False,False,False,False,False,
business-analytics-certification-pwc-india,True,True,False,False,False,False,False,False,False,
certificate-program-in-marketing-leadership-development-mica,True,True,False,True,False,False,False,True,True,Certificate
certification-program-in-artificial-intelligence-and-machine-learning-upgradcampus,True,False,False,True,False,False,False,False,False,
certification-program-in-data-science-and-analytics-upgradcampus,True,False,False,True,False,False,False,False,True,Certification
certification-program-in-digital-marketing-upgradcampus-plus,False,False,False,False,False,False,False,False,False,
certification-program-in-financial-modelling-and-analysis,True,True,False,False,False,False,False,False,True,
chief-revenue-officer-cro-program-iim-kozhikode,True,True,True,False,False,False,True,True,False,
chief-technology-and-ai-officer-program-university-of-waterloo,True,True,False,True,False,True,False,False,False,
copilot-db-ai-accelerated-doctoral-research-program,False,False,False,False,False,False,False,False,False,
copilotxcelerate-ai-powered-mba-program,True,True,False,False,False,False,True,False,False,
ctaio-iimu-iiit,True,False,False,True,False,False,False,True,False,
data-science-and-business-analytics-certification-training,True,True,False,True,False,False,False,False,True,
data-science-and-generative-ai-certification-iiitb,True,False,False,True,False,True,False,True,False,Certificate
data-science-masters-degree-ljmu,True,True,False,False,False,False,False,True,False,
data-science-pgc-iiitb,True,False,False,True,False,False,False,False,False,Certificate
data-science-pgd-iiitb,True,True,True,True,True,False,False,True,False,
dba-emerging-technologies-specialization-in-gen-ai-ggu,True,True,False,True,False,True,False,False,False,Doctorate
dba-from-golden-gate-university,True,True,True,True,False,True,False,True,False,
dba-from-rushford-business-school,False,False,False,False,False,True,False,True,False,Doctorate
digital-marketing-and-communication-pgc-mica,True,True,False,True,False,True,False,False,True,Certificate
digital-marketing-and-communication-pgc-mica-immersion,True,True,False,True,False,False,False,False,False,Certificate
doctor-of-business-administration-dba-edgewood-college,True,True,False,False,False,False,False,True,False,
doctor-of-business-administration-from-esgci,True,True,False,False,False,False,False,True,False,
doctor-of-business-administration-ssbm,True,True,False,False,False,False,False,False,False,Doctorate
doctor-of-education-program-from-edgewood-college,True,True,False,False,False,True,False,False,False,
dual-degree-in-education-med-and-edd-from-edgewood-college,True,True,True,False,False,False,False,False,False,
dual-degree-mba-dba-from-golden-gate-university,True,True,True,True,False,True,False,True,False,
executive-pgp-in-data-science-business-analytics-maryland,True,True,False,False,False,False,False,False,True,
full-stack-developer-course-pgd-iiitb,True,True,True,True,False,False,False,False,True,Certificate
generative-ai-for-business-leaders-iiit-bangalore,True,True,True,True,False,True,True,True,True,Certification
generative-ai-mastery-certificate-for-content-creation,True,True,True,False,False,False,True,False,False,
generative-ai-mastery-certificate-for-data-analysis,True,False,False,False,False,False,True,False,False,
generative-ai-mastery-certificate-for-managerial-excellence,True,False,False,False,False,False,True,False,False,
generative-ai-mastery-certificate-for-software-development,True,False,False,False,False,False,True,False,False,
hdfc-life-insurance-fundamentals-program,True,True,True,False,False,False,True,False,False,
hrm-analytics-pcp-iimk,True,True,False,True,False,True,False,True,False,Certificate
iimk-ai-professional-certificate-programme,True,False,False,True,False,False,True,True,False,
llm-from-golden-gate-university,True,True,False,True,False,False,False,False,False,Degree
ma-digital-marketing-imtg-ism-germany,True,True,True,False,False,False,False,False,False,
ma-in-organizational-psychology-ggu,True,True,True,True,False,False,False,True,False,
machine-learning-ai-pgd-iiitb,True,True,True,True,False,False,False,True,False,
management-certificate-ggu,True,True,False,True,False,False,False,True,False,Certificate
management-essentials-online-program,False,False,False,False,False,True,False,False,False,Certificate
management-program,True,True,False,False,False,False,False,False,True,
master-of-business-administration-edgewood-utica-university-usa,True,True,True,False,False,False,False,False,False,
master-of-education-from-edgewood-college,True,False,False,False,False,False,False,False,False,
masters-in-business-management-and-technology-from-psb,True,True,False,True,False,False,False,True,False,Degree
masters-in-ml-ai-ljmu,True,True,True,True,False,False,False,True,False,
masters-of-science-ai-and-data-science-jindal-global-university,True,True,True,False,False,False,False,True,False,Masters Degree
mba-60-ects-university-of-applied-management,True,True,True,False,False,False,False,False,False,
mba-business-and-law-opj-global-university,True,True,True,False,False,False,False,True,False,
mba-dba-edgewood-college,True,True,False,False,False,False,False,True,False,
mba-from-edgewood-college,True,True,True,False,False,False,False,True,False,
mba-from-golden-gate-university,True,True,True,True,False,True,False,True,False,Degree
mba-liverpool-business-school,True,True,True,False,False,False,False,True,False,
mba-opj-global-university,True,True,False,False,False,False,False,True,False,
mba-to-dba-pathway-from-golden-gate-university,True,True,True,True,False,True,False,True,False,
mba-touro-university,True,True,True,False,False,False,False,False,False,
mba-upgrad-college,True,True,False,True,False,True,False,False,False,Degree
med-from-northeastern-university,True,False,False,True,False,True,False,False,False,Masters
med-from-university-of-massachusetts,True,False,False,True,False,False,False,False,False,Masters
merger-acquisitions-and-private-equity-jgls,True,False,False,False,False,False,False,True,False,Certification
mica-advanced-certificate-ai-powered-digital-marketing-and-communication,True,True,False,True,False,True,False,False,True,Certificate
mps-applied-machine-intelligence-iiitb-nu-usa,True,False,False,False,False,False,False,False,False,
ms-artificial-intelligence-touro-university,True,True,True,False,False,False,False,False,False,
ms-business-analytics-imtg-neu-damore-mckim-school-of-business-usa-pgmp,True,True,True,False,False,False,False,False,False,
ms-health-services-administration-imtg-university-of-detroit-mercy,True,True,True,False,False,False,False,False,False,
msc-bi-and-ds-imtg-ism-germany,True,True,True,False,False,False,False,False,False,
msc-business-intelligence-data-science-ggu-ism-germany,True,False,False,False,False,False,False,False,False,
msc-international-finance-and-accounting-jindal-global-university,True,True,True,True,False,True,False,True,False,Master’s Degree
msc-international-logistics-supply-chain-management-imtg-ism-germany,True,True,True,False,False,False,False,False,False,
msc-international-management-imtg-ism-germany,True,True,True,False,False,False,False,False,False,
msc-psychology-imtg-ism-germany,True,True,True,False,False,False,False,False,False,
op-jindal-career-acceleration-program,True,True,False,False,False,False,False,True,False,
pg-diploma-in-ml-woolf,True,True,False,False,False,False,False,False,False,Post Graduate
pgp-in-general-management-gim,True,True,True,True,False,False,False,False,False,
professional-certificate-program-general-management-iimk,True,True,False,True,False,False,False,True,False,Certificate
professional-certificate-program-marketing-sales-management-iimk,True,False,False,True,False,False,False,True,False,Certificate
suny-bachelors-year-1,True,True,True,False,False,False,False,False,False,
supply-chain-management-iim-lucknow,True,False,False,True,False,False,False,True,False,Certificate
the-u-and-ai-genai-certificate-program-from-microsoft,True,True,False,False,False,False,True,False,False,
universal-ai-program-from-mit-open-learning,False,False,False,False,False,False,False,False,False,
